		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 249.984375	M = 128000	N = 8	m = 9	n = 1024000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  253  266  240  273  264  243  262  228  7.314497 0.503112 SUCCESS   0
000000011  272  263  217  266  269  268  254  246 11.240089 0.188463 SUCCESS   1
000000101  260  266  252  245  262  222  233  244  6.774958 0.561096 SUCCESS   2
000000111  247  233  239  244  264  268  246  233  5.292485 0.725906 SUCCESS   3
000001001  248  256  249  261  244  259  258  240  1.834804 0.985664 SUCCESS   4
000001011  273  247  264  249  245  246  244  253  3.399507 0.906847 SUCCESS   5
000001101  250  251  236  251  255  236  248  259  2.083434 0.978347 SUCCESS   6
000001111  249  233  230  243  266  261  241  239  5.448154 0.708777 SUCCESS   7
000010001  273  243  239  236  278  257  248  247  7.205891 0.514590 SUCCESS   8
000010011  246  237  227  249  215  255  250  232  9.458949 0.305069 SUCCESS   9
000010101  231  233  232  254  251  248  226  253  6.527749 0.588331 SUCCESS  10
000010111  242  252  260  244  253  248  242  266  2.222683 0.973413 SUCCESS  11
000011001  224  259  254  238  260  248  243  252  4.440703 0.815336 SUCCESS  12
000011011  268  250  239  268  239  246  231  283  9.750764 0.282957 SUCCESS  13
000011101  223  235  252  244  259  267  229  265  8.395515 0.395819 SUCCESS  14
000011111  256  225  237  237  236  247  238  222  8.807701 0.358777 SUCCESS  15
000100011  266  280  267  234  247  251  234  246  8.207653 0.413454 SUCCESS  16
000100101  236  207  278  266  299  263  255  270 25.164808 0.001458 FAILURE  17
000100111  267  238  223  276  211  256  244  247 14.227661 0.076021 SUCCESS  18
000101001  235  270  263  213  273  252  261  241 11.991152 0.151599 SUCCESS  19
000101011  261  245  244  246  255  218  239  256  5.804226 0.669151 SUCCESS  20
000101101  260  237  248  207  222  270  252  248 13.704024 0.089814 SUCCESS  21
000101111  250  253  267  261  237  249  244  254  2.654004 0.954162 SUCCESS  22
000110011  240  255  221  250  248  231  235  234  7.485810 0.485235 SUCCESS  23
000110101  259  241  253  237  262  267  251  227  5.390618 0.715126 SUCCESS  24
000110111  266  244  280  263  250  242  239  262  6.998117 0.536836 SUCCESS  25
000111001  262  227  217  268  250  244  260  223 12.203063 0.142371 SUCCESS  26
000111011  253  266  257  242  248  229  230  277  8.076420 0.426041 SUCCESS  27
000111101  275  252  242  256  269  258  288  261 11.262586 0.187260 SUCCESS  28
000111111  259  235  235  261  227  253  250  246  4.985285 0.759148 SUCCESS  29
001000011  240  221  257  205  263  253  229  291 21.984848 0.004944 FAILURE  30
001000101  252  261  253  235  257  273  271  249  5.712040 0.679451 SUCCESS  31
001000111  262  259  270  254  251  254  261  254  3.297624 0.914316 SUCCESS  32
001001011  237  234  254  274  279  239  253  256  8.377414 0.397498 SUCCESS  33
001001101  233  241  253  267  237  282  277  222 13.961059 0.082786 SUCCESS  34
001001111  261  256  248  251  229  243  255  274  5.186335 0.737487 SUCCESS  35
001010011  230  259  235  214  256  253  251  268  9.809463 0.278655 SUCCESS  36
001010101  251  247  240  257  252  241  232  261  2.848202 0.943519 SUCCESS  37
001010111  250  248  241  245  224  240  267  246  4.922578 0.765818 SUCCESS  38
001011011  247  256  235  246  237  268  252  269  4.734457 0.785544 SUCCESS  39
001011101  245  249  277  243  264  270  232  256  7.286440 0.506067 SUCCESS  40
001011111  240  249  253  271  240  247  248  244  2.895135 0.940765 SUCCESS  41
